,연도,시설번호,시설명,주소,사용여부,면적,이용가능인원수,선풍기보유대수,에어컨보유대수,야간개방,휴일개방,숙박가능여부,위도,경도,도
0,2021,1,효창스위첸,서울특별시 용산구 백범로 275,Y,92,25,3,1,N,N,N,37.540245,126.9600453,서울특별시
1,2021,1,래미안힐스테이트고덕(여),서울특별시 강동구 아리수로50길 50,Y,307,48,0,2,N,N,N,37.5576884,127.148601,서울특별시
2,2021,1,래미안힐스테이트고덕(남),서울특별시 강동구 아리수로50길 50,Y,323,35,0,2,N,N,N,37.5576884,127.148601,서울특별시
3,2021,1,천호삼성아파트(할아버지)경로,서울특별시 강동구 성안로25길 6,Y,23,36,2,1,N,N,N,37.5383011,127.1347902,서울특별시
4,2021,1,신성둔촌미소지움2차A,"서울특별시 강동구 명일로 102 , 102-215 (둔촌동, 신성둔촌미소지움)",Y,123,25,2,2,N,N,N,37.5276458,127.1425455,서울특별시
5,2021,1,신성둔촌미소지움1차A,"서울특별시 강동구 진황도로 212 , 202-104 (둔촌동, 신성둔촌미소지움)",Y,36,20,2,2,N,N,N,37.5272087,127.143332,서울특별시
6,2021,1,상암경로문화센터,서울특별시 마포구 월드컵북로50길 7-5,Y,317,79,6,4,N,N,N,37.577058,126.893277,서울특별시
7,2021,1,만수(목동현대@107~108,"서울특별시 양천구 목동 목동동로12길 59 , 관리실,노인정 (목동, 목동현대아파트)",Y,143,40,3,2,N,N,N,37.5262389,126.8785443,서울특별시
8,2021,1,신정대성유니드아파트(1차),"서울특별시 양천구 신정동 중앙로29길 102 , 경로당 (신정동, 신정대성유니드아파트)",Y,77,20,4,2,N,N,N,37.5232107,126.8498004,서울특별시
9,2021,1,신정대성유니드아파트(2차),서울특별시 양천구 중앙로29길 108,Y,89,22,2,1,N,N,N,37.5238487,126.8492249,서울특별시
10,2021,1,목동2차우성아파트 우정(2단,"서울특별시 양천구 신정동 목동남로4길 6-23, 경로당 (신정동, 목동2차우성아파트)",Y,61,20,3,1,N,N,N,37.5093607,126.8654711,서울특별시
11,2021,1,목동2차우성(아)2단지 경로,"서울특별시 양천구 신정동 목동남로4길 6-23, 경로당 (신정동, 목동2차우성아파트)",Y,100,29,5,1,N,N,N,37.510354,126.8658361,서울특별시
12,2021,1,목동2차우성(아)1단지 경로,"서울특별시 양천구 신정동 목동남로4길 6-46, 경로당 (신정동, 목동2차우성아파트)",Y,144,59,4,1,N,N,N,37.5093607,126.8654711,서울특별시
13,2021,1,목동2차삼성래미안 2단지 경,"서울특별시 양천구 신정동 목동남로4길 81 , 경로당 (신정동, 목동2차삼성래미안아파트)",Y,73,27,3,1,N,N,N,37.5127982,126.8686006,서울특별시
14,2021,1,목동2차삼성래미안 1단지 경,"서울특별시 양천구 신정동 목동남로4길 81 , 경로당 (신정동, 목동2차삼성래미안아파트)",Y,32,28,2,1,N,N,N,37.5127982,126.8686006,서울특별시
15,2021,1,대림아크로빌,서울특별시 양천구 목동서로 401,Y,52,28,3,1,N,N,N,37.515377,126.85951,서울특별시
16,2021,1,중동청구(아)아파트,서울특별시 마포구 성암로11길 60,Y,73,22,5,1,N,N,N,37.5743315,126.9019968,서울특별시
17,2021,1,성산시영(아)아파트,서울특별시 마포구 월드컵북로 235,Y,185,56,3,1,N,N,N,37.5690196,126.9028521,서울특별시
18,2021,2,잠실종합사회복지관,서울특별시 송파구 올림픽로12길 12,Y,1438,20,1,5,,,,37.5105107,127.08267,서울특별시
19,2021,2,송파복지센터,서울특별시 송파구 장지동 충민로 184 (장지동),Y,7150,30,0,1,,,,37.4857841,127.1341622,서울특별시
20,2021,2,마천종합사회복지관,서울특별시 송파구 마천동 마천로65길 4 (마천동),Y,1107,50,20,25,,,,37.4917657,127.1556394,서울특별시
21,2021,2,인성장애인복지관,서울특별시 송파구 마천동 마천로61길 26 (마천동),Y,1383,50,0,1,,,,37.4938963,127.1551825,서울특별시
22,2021,2,풍납종합사회복지관,서울특별시 송파구 풍납동 강동대로3길 5 (풍납동),Y,1923,50,0,1,,,,37.5277274,127.113851,서울특별시
23,2021,2,실벗뜨락,서울특별시 송파구 백제고분로42길 5,Y,2571,263,25,32,,,,37.505925,127.109684,서울특별시
