동,mean_price,대체 동명
가락1동,5892232.091,
가락2동,5892232.091,
가락본동,5892232.091,
가리봉동,2933095.417,
가산동,2562777.03,
가양1동,3224439.678,
가양2동,3224439.678,
가양3동,3224439.678,
가회동,4920883.582,
갈현1동,2887232.968,
갈현2동,2887232.968,
강남_신사동,14556632.44,
강일동,738755.9153,
개봉1동,2566493.7,
개봉2동,2566493.7,
개봉3동,2566493.7,
개포1동,4343052.475,
개포2동,4343052.475,
개포4동,4343052.475,
거여1동,3998352.93,
거여2동,3998352.93,
고덕1동,1914359.308,
고덕2동,1914359.308,
고척1동,2560039.475,
고척2동,2560039.475,
공덕동,5242534.111,
공릉1동,2345751.702,
공릉2동,2345751.702,
공항동,2551782.495,
관악_신사동,3339766.716,
광장동,2631844.505,
광희동,6169905.873,
교남동,9275400,
구로1동,2860288.783,
구로2동,2860288.783,
구로3동,2860288.783,
구로4동,2860288.783,
구로5동,2860288.783,
구산동,2450374.381,
구의1동,3777162.727,
구의2동,3777162.727,
구의3동,3777162.727,
군자동,3668457.742,
금호1가동,2765562.472,
금호2·3가동,3652347.578,
금호4가동,3783610.025,
길동,4224172.76,
길음1동,4224172.76,
길음2동,4224172.76,
낙성대동,3477480.038,봉천동 대체
난곡동,3339766.716,신림동 대체
난향동,3339766.716,신림동 대체
남가좌1동,3445416.488,
남가좌2동,3445416.488,
남영동,10570548.91,
남현동,4115607.743,
내곡동,937687.3054,
노량진1동,4707597.452,
노량진2동,4707597.452,
녹번동,2781534.526,
논현1동,9614150.422,
논현2동,9614150.422,
능동,3675534.231,
다산동,5365880.109,인근 장충동 대체
답십리1동,3102403.97,
답십리2동,3102403.97,
당산1동,3919864.357,
당산2동,3919864.357,
대림1동,3029871.182,
대림2동,3029871.182,
대림3동,3029871.182,
대방동,3515858.632,
대조동,3629162.73,
대치1동,10806788.5,
대치2동,10806788.5,
대치4동,10806788.5,
대학동,3339766.716,
대흥동,5187840.217,
도곡1동,7365463.981,
도곡2동,7365463.981,
도림동,2439453.607,
도봉1동,1730381.202,
도봉2동,1730381.202,
도화동,6721363.169,
독산1동,2623949.908,
독산2동,2623949.908,
독산3동,2623949.908,
독산4동,2623949.908,
돈암1동,1967790.657,
돈암2동,1967790.657,
동선동,4580302.531,
동화동,3493498.158,인근 왕십리2동 대체
둔촌1동,2731360.644,
둔촌2동,2731360.644,
등촌1동,3539461.896,
등촌2동,3539461.896,
등촌3동,3539461.896,
마장동,3356850.477,
마천1동,3271007.614,
마천2동,3271007.614,
망우3동,2357599.728,
망우본동,2357599.728,
망원1동,4969372.885,
망원2동,4969372.885,
면목2동,2687782.209,
면목3·8동,2687782.209,
면목4동,2687782.209,
면목5동,2687782.209,
면목7동,2687782.209,
면목본동,2687782.209,
명동,64286070.79,
명일1동,4406497.071,
명일2동,4406497.071,
목1동,2743795.625,
목2동,2743795.625,
목3동,2743795.625,
목4동,2743795.625,
목5동,2743795.625,
무악동,3825430.706,
묵1동,2743795.625,
묵2동,2743795.625,
문래동,3550098.007,
문정1동,5114597.218,
문정2동,5114597.218,
미성동,3339766.716,
미아동,2686236.997,
반포1동,8732342.119,
반포2동,8732342.119,
반포3동,8732342.119,
반포4동,8732342.119,
반포본동,8732342.119,
발산1동,4001745.565,"내발산,외발산동 평균"
방배1동,6196959.775,
방배2동,6196959.775,
방배3동,6196959.775,
방배4동,6196959.775,
방배본동,6196959.775,
방이1동,5995469.725,
방이2동,5995469.725,
방학1동,2197560.803,
방학2동,2197560.803,
방학3동,2197560.803,
방화1동,2298601.278,
방화2동,2298601.278,
방화3동,2298601.278,
번1동,2137642.244,
번2동,2137642.244,
번3동,2137642.244,
보광동,6242823.88,
보라매동,3477480.038,
보문동,3950546.797,
부암동,1385092.812,
북가좌1동,2883590.504,
북가좌2동,2883590.504,
북아현동,4281551.319,
불광1동,2828087.588,
불광2동,2828087.588,
사근동,2296565.235,
사당1동,3775175.708,
사당2동,3775175.708,
사당3동,3775175.708,
사당4동,3775175.708,
사당5동,3775175.708,
사직동,3217173.477,
삼각산동,2686236.997,미아동 대체
삼선동,3524700.544,
삼성1동,12526180.26,
삼성2동,12526180.26,
삼성동,12526180.26,
삼양동,2686236.997,
삼전동,6035553.711,
삼청동,5171696.76,
상계10동,2528509.025,
상계1동,2528509.025,
상계2동,2528509.025,
상계3·4동,2528509.025,
상계5동,2528509.025,
상계6·7동,2528509.025,
상계8동,2528509.025,
상계9동,2528509.025,
상도1동,3127907.194,
상도2동,3127907.194,
상도3동,3127907.194,
상도4동,3127907.194,
상봉1동,3188658.124,
상봉2동,3188658.124,
상암동,2692204.403,
상일동,2451127.915,
서강동,5074237.274,
서교동,8489265.526,
서림동,3339766.716,
서빙고동,3924797.373,
서원동,3339766.716,
서초1동,10318144.83,
서초2동,10318144.83,
서초3동,10318144.83,
서초4동,10318144.83,
석관동,2438652.201,
석촌동,6295082.388,
성내1동,4373740.62,
성내2동,4373740.62,
성내3동,4373740.62,
성북동,3212712.865,
성산1동,3764478.234,
성산2동,3764478.234,
