위치,위도,경도,상태
서울특별시 강남구 개포동 1271,37.47769482,127.0523102,정좌표
서울특별시 강남구 개포동 1274,37.47561629,127.0553755,정좌표
서울특별시 강남구 개포동 1277-1,37.47202501,127.0525999,정좌표
서울특별시 강남구 개포동 146-1,37.4795856,127.0653011,정좌표
서울특별시 강남구 개포동 146-2,37.48227424,127.069743,정좌표
서울특별시 강남구 개포동 155,37.48579489,127.0634518,정좌표
서울특별시 강남구 개포동 175-3,37.48701401,127.0589777,정좌표
서울특별시 강남구 개포동 192-1,37.48563135,127.0753056,정좌표
서울특별시 강남구 개포동 647-3,37.47571466,127.0597273,정좌표
서울특별시 강남구 개포동 657,37.47681187,127.0552416,정좌표
서울특별시 강남구 개포동 산 136-5,37.4809181,127.0684322,정좌표
서울특별시 강남구 개포동 산 142-2,37.4800742,127.0668485,정좌표
서울특별시 강남구 개포동 산 63-14,37.48320358,127.0718317,정좌표
서울특별시 강남구 개포동 산 72-3,37.4812128,127.0689713,정좌표
서울특별시 강남구 논현동 26,37.51548013,127.0251794,정좌표
서울특별시 강남구 대치동 212-12,37.49565006,127.0621115,수정
서울특별시 강남구 도곡동 145-33,37.49316541,127.0472254,정좌표
서울특별시 강남구 도곡동 540,37.4935602,127.0459932,정좌표
서울특별시 강남구 도곡동 869,37.4908812,127.0420759,정좌표
서울특별시 강남구 도곡동 874-1,37.48948407,127.0415265,정좌표
서울특별시 강남구 도곡동 산 110,37.48781918,127.0414454,정좌표
서울특별시 강남구 도곡동 산 179,37.49201091,127.0440218,정좌표
서울특별시 강남구 도곡동 산 26-4,37.49047107,127.0486596,정좌표
서울특별시 강남구 도곡동 산 28-7,37.48953049,127.048884,정좌표
서울특별시 강남구 도곡동 산 31-1,37.48941572,127.0440745,정좌표
서울특별시 강남구 도곡동 산 39-3,37.48656801,127.0423698,정좌표
서울특별시 강남구 도곡동 산 6-13,37.49181087,127.0479358,정좌표
서울특별시 강남구 삼성동 78-4,37.51976775,127.0583388,정좌표
서울특별시 강남구 삼성동 79,37.51996058,127.0596127,정좌표
서울특별시 강남구 세곡동 115-12,37.46534285,127.1078735,정좌표
서울특별시 강남구 세곡동 122-19,37.46725451,127.1081167,정좌표
서울특별시 강남구 세곡동 산 40,37.46885037,127.1017433,정좌표
서울특별시 강남구 세곡동 산 43,37.46900491,127.0992007,정좌표
서울특별시 강남구 세곡동 산 52-21,37.46490066,127.0938663,수정
서울특별시 강남구 세곡동 산 52-53,37.46252462,127.0925195,정좌표
서울특별시 강남구 수서동 748,37.48414627,127.0901643,정좌표
서울특별시 강남구 수서동 749,37.48324689,127.0893406,정좌표
서울특별시 강남구 수서동 산 10-1,37.48811811,127.0932016,정좌표
서울특별시 강남구 압구정동 397,37.52393699,127.0182297,정좌표
서울특별시 강남구 역삼동 934-10,37.48844868,127.0369142,수정
서울특별시 강남구 율현동 196-10,37.4716706,127.1099582,정좌표
서울특별시 강남구 율현동 산 28-1,37.46832007,127.1075182,정좌표
서울특별시 강남구 율현동 산 3-1,37.47265883,127.1105992,정좌표
서울특별시 강남구 율현동 산 3-3,37.47245304,127.1098612,정좌표
서울특별시 강남구 일원동 128-10,37.48724813,127.0824761,정좌표
서울특별시 강남구 일원동 173-8,37.48830877,127.0812113,정좌표
서울특별시 강남구 일원동 50,37.48865329,127.0859585,정좌표
서울특별시 강남구 일원동 697-1,37.48691029,127.077395,정좌표
서울특별시 강남구 일원동 723-2,37.48312539,127.0791695,정좌표
서울특별시 강남구 일원동 731,37.48188099,127.0774869,정좌표
서울특별시 강남구 일원동 732-3,37.48082287,127.0782126,정좌표
서울특별시 강남구 일원동 736-1,37.48056614,127.0863251,정좌표
서울특별시 강남구 일원동 739,37.48050359,127.0825001,정좌표
서울특별시 강남구 일원동 산 38-1,37.48469906,127.0790907,정좌표
서울특별시 강남구 자곡동 389,37.47350914,127.1047672,정좌표
서울특별시 강남구 자곡동 산 39-3,37.47533968,127.0957792,정좌표
서울특별시 강남구 자곡동 산 46-43,37.47460371,127.0884961,정좌표
서울특별시 강남구 청담동 59-28,37.52212738,127.0514097,정좌표
서울특별시 강남구 청담동 65,37.52011578,127.0513819,정좌표
서울특별시 강동구 고덕동 217,37.55788607,127.1625263,정좌표
서울특별시 강동구 둔촌동 227-7,37.51851063,127.1408821,정좌표
서울특별시 강동구 둔촌동 574-2,37.53744197,127.1513413,정좌표
서울특별시 강동구 둔촌동 산 106,37.53564367,127.1516283,수정
서울특별시 강동구 둔촌동 산 18-2,37.52324615,127.1474074,정좌표
서울특별시 강동구 둔촌동 산 75,37.53995204,127.1573213,수정
서울특별시 강동구 명일동 332-1,37.54888873,127.1467878,정좌표
서울특별시 강동구 명일동 54,37.5504528,127.1551245,정좌표
서울특별시 강동구 명일동 산 57-3,37.54168323,127.1602093,정좌표
