BASE_DATE,ADM_DR_CD,ADM_DR_NM,OBJECTID
20200630,1124066,가락1동,396
20200630,1124067,가락2동,397
20200630,1124065,가락본동,395
20200630,1117070,가리봉동,272
20200630,1118051,가산동,277
20200630,1116064,가양1동,251
20200630,1116065,가양2동,252
20200630,1116066,가양3동,253
20200630,1101060,가회동,7
20200630,1112055,갈현1동,179
20200630,1112056,갈현2동,180
20200630,1123051,강남_신사동,359
20200630,1125051,강일동,408
20200630,1117072,개봉1동,274
20200630,1117064,개봉2동,268
20200630,1117065,개봉3동,269
20200630,1123068,개포1동,370
20200630,1123080,개포2동,380
20200630,1123071,개포4동,371
20200630,1124053,거여1동,383
20200630,1124054,거여2동,384
20200630,1125055,고덕1동,412
20200630,1125056,고덕2동,413
20200630,1117061,고척1동,266
20200630,1117062,고척2동,267
20200630,1114077,공덕동,221
20200630,1111079,공릉1동,176
20200630,1111056,공릉2동,161
20200630,1116069,공항동,255
20200630,1121068,관악_신사동,330
20200630,1105063,광장동,76
20200630,1102059,광희동,23
20200630,1101058,교남동,6
20200630,1117052,구로1동,262
20200630,1117071,구로2동,273
20200630,1117054,구로3동,263
20200630,1117055,구로4동,264
20200630,1117056,구로5동,265
20200630,1112057,구산동,181
20200630,1105060,구의1동,73
20200630,1105061,구의2동,74
20200630,1105062,구의3동,75
20200630,1105054,군자동,67
20200630,1104059,금호1가동,55
20200630,1104072,금호2·3가동,64
20200630,1104062,금호4가동,56
20200630,1125074,길동,425
20200630,1108066,길음1동,119
20200630,1108068,길음2동,120
20200630,1121058,낙성대동,323
20200630,1121081,난곡동,338
20200630,1121071,난향동,332
20200630,1113069,남가좌1동,199
20200630,1113070,남가좌2동,200
20200630,1103053,남영동,35
20200630,1121063,남현동,326
20200630,1122068,내곡동,358
20200630,1120072,노량진1동,318
20200630,1120052,노량진2동,305
20200630,1112051,녹번동,177
20200630,1123052,논현1동,360
20200630,1123053,논현2동,361
20200630,1105059,능동,72
20200630,1102070,다산동,29
20200630,1106091,답십리1동,94
20200630,1106086,답십리2동,89
20200630,1119055,당산1동,288
20200630,1119056,당산2동,289
20200630,1119070,대림1동,298
20200630,1119071,대림2동,299
20200630,1119072,대림3동,300
