사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
138468,2013097,1117013100,11170001,서울특별시 용산구1,서울특별시 용산구 한남동(순천향병원 부근),3,3,0,0,2,1,127.0055862,37.5332951,"{""type"":""Polygon"",""coordinates"":[[[127.0071863,37.5345693],[127.0068434,37.5347934],[127.0064522,37.5349599],[127.0060277,37.5350625],[127.0055862,37.5350971],[127.0051448,37.5350625],[127.0047203,37.5349599],[127.0043291,37.5347934],[127.0039862,37.5345693],[127.0037047,37.5342962],[127.0034957,37.5339847],[127.0033669,37.5336466],[127.0033234,37.5332951],[127.0033669,37.5329435],[127.0034957,37.5326055],[127.0037048,37.5322939],[127.0039862,37.5320209],[127.0043291,37.5317968],[127.0047203,37.5316303],[127.0051448,37.5315277],[127.0055862,37.5314931],[127.0060277,37.5315277],[127.0064521,37.5316303],[127.0068433,37.5317968],[127.0071862,37.5320209],[127.0074676,37.5322939],[127.0076768,37.5326055],[127.0078055,37.5329435],[127.007849,37.5332951],[127.0078056,37.5336466],[127.0076768,37.5339847],[127.0074677,37.5342962],[127.0071863,37.5345693]]]}"
144026,2013097,1120010700,11200001,서울특별시 성동구1,서울특별시 성동구 행당동(무학여고앞 부근),4,5,0,0,5,0,127.0327244,37.55863534,"{""type"":""Polygon"",""coordinates"":[[[127.034325,37.5599095],[127.033982,37.5601336],[127.0335907,37.5603002],[127.033166,37.5604027],[127.0327244,37.5604373],[127.0322828,37.5604027],[127.0318582,37.5603002],[127.0314668,37.5601336],[127.0311238,37.5599095],[127.0308423,37.5596365],[127.0306331,37.5593249],[127.0305043,37.5589869],[127.0304608,37.5586353],[127.0305043,37.5582838],[127.0306332,37.5579457],[127.0308423,37.5576342],[127.0311238,37.5573611],[127.0314669,37.557137],[127.0318582,37.5569705],[127.0322828,37.556868],[127.0327244,37.5568333],[127.033166,37.556868],[127.0335906,37.5569705],[127.0339819,37.557137],[127.034325,37.5573611],[127.0346065,37.5576342],[127.0348156,37.5579457],[127.0349445,37.5582838],[127.034988,37.5586353],[127.0349445,37.5589869],[127.0348157,37.5593249],[127.0346065,37.5596365],[127.034325,37.5599095]]]}"
144027,2013097,1121510300,11215001,서울특별시 광진구1,서울특별시 광진구 구의동(슬기유치원앞 부근),3,3,0,2,1,0,127.0930947,37.55223187,"{""type"":""Polygon"",""coordinates"":[[[127.0946952,37.5535061],[127.0943522,37.5537302],[127.0939609,37.5538967],[127.0935363,37.5539992],[127.0930947,37.5540339],[127.0926531,37.5539992],[127.0922285,37.5538967],[127.0918372,37.5537302],[127.0914942,37.5535061],[127.0912128,37.553233],[127.0910036,37.5529214],[127.0908748,37.5525834],[127.0908313,37.5522318],[127.0908748,37.5518803],[127.0910036,37.5515423],[127.0912128,37.5512307],[127.0914943,37.5509577],[127.0918373,37.5507336],[127.0922286,37.550567],[127.0926532,37.5504645],[127.0930947,37.5504299],[127.0935363,37.5504645],[127.0939608,37.550567],[127.0943521,37.5507336],[127.0946951,37.5509577],[127.0949766,37.5512307],[127.0951858,37.5515423],[127.0953146,37.5518803],[127.0953581,37.5522318],[127.0953146,37.5525834],[127.0951858,37.5529214],[127.0949767,37.553233],[127.0946952,37.5535061]]]}"
140161,2013097,1121510400,11215002,서울특별시 광진구2,서울특별시 광진구 광장동(광장사거리 부근),5,5,0,1,3,1,127.1036476,37.54433089,"{""type"":""Polygon"",""coordinates"":[[[127.1052479,37.5456051],[127.104905,37.5458292],[127.1045137,37.5459957],[127.1040891,37.5460983],[127.1036476,37.5461329],[127.1032061,37.5460983],[127.1027815,37.5459957],[127.1023903,37.5458292],[127.1020473,37.5456051],[127.1017659,37.545332],[127.1015567,37.5450205],[127.101428,37.5446824],[127.1013845,37.5443309],[127.101428,37.5439793],[127.1015568,37.5436413],[127.1017659,37.5433297],[127.1020474,37.5430567],[127.1023903,37.5428326],[127.1027816,37.5426661],[127.1032061,37.5425635],[127.1036476,37.5425289],[127.1040891,37.5425635],[127.1045137,37.5426661],[127.1049049,37.5428326],[127.1052479,37.5430567],[127.1055293,37.5433297],[127.1057385,37.5436413],[127.1058673,37.5439793],[127.1059108,37.5443309],[127.1058673,37.5446824],[127.1057385,37.5450205],[127.1055294,37.545332],[127.1052479,37.5456051]]]}"
138521,2013097,1126010300,11260001,서울특별시 중랑구1,서울특별시 중랑구 중화동(태능시장 부근),3,3,0,0,2,1,127.0769334,37.59809991,"{""type"":""Polygon"",""coordinates"":[[[127.0785348,37.5993741],[127.0781916,37.5995982],[127.0778001,37.5997647],[127.0773752,37.5998673],[127.0769334,37.5999019],[127.0764915,37.5998673],[127.0760667,37.5997647],[127.0756751,37.5995982],[127.0753319,37.5993741],[127.0750503,37.599101],[127.074841,37.5987895],[127.0747121,37.5984514],[127.0746686,37.5980999],[127.0747122,37.5977483],[127.074841,37.5974103],[127.0750503,37.5970988],[127.075332,37.5968257],[127.0756752,37.5966016],[127.0760667,37.5964351],[127.0764916,37.5963326],[127.0769334,37.5962979],[127.0773752,37.5963326],[127.0778001,37.5964351],[127.0781916,37.5966016],[127.0785348,37.5968257],[127.0788164,37.5970988],[127.0790257,37.5974103],[127.0791546,37.5977483],[127.0791981,37.5980999],[127.0791546,37.5984514],[127.0790258,37.5987895],[127.0788165,37.599101],[127.0785348,37.5993741]]]}"
142084,2013097,1126010300,11260002,서울특별시 중랑구2,서울특별시 중랑구 중화동(성은교회앞 부근),3,3,0,1,2,0,127.0772234,37.60301599,"{""type"":""Polygon"",""coordinates"":[[[127.078825,37.6042902],[127.0784818,37.6045143],[127.0780902,37.6046808],[127.0776653,37.6047833],[127.0772234,37.604818],[127.0767816,37.6047833],[127.0763567,37.6046808],[127.0759651,37.6045143],[127.0756219,37.6042902],[127.0753402,37.6040171],[127.0751309,37.6037056],[127.075002,37.6033675],[127.0749585,37.603016],[127.0750021,37.6026644],[127.0751309,37.6023264],[127.0753403,37.6020148],[127.0756219,37.6017418],[127.0759651,37.6015177],[127.0763567,37.6013512],[127.0767816,37.6012486],[127.0772234,37.601214],[127.0776653,37.6012486],[127.0780902,37.6013512],[127.0784817,37.6015177],[127.0788249,37.6017418],[127.0791066,37.6020148],[127.0793159,37.6023264],[127.0794448,37.6026644],[127.0794883,37.603016],[127.0794448,37.6033675],[127.0793159,37.6037056],[127.0791067,37.6040171],[127.078825,37.6042902]]]}"
138523,2013097,1126010400,11260003,서울특별시 중랑구3,서울특별시 중랑구 묵동(브라운스톤태릉아파트(102동) 부근),3,3,0,1,2,0,127.0829619,37.6180591,"{""type"":""Polygon"",""coordinates"":[[[127.0845638,37.6193333],[127.0842205,37.6195574],[127.0838288,37.6197239],[127.0834038,37.6198264],[127.0829619,37.6198611],[127.0825199,37.6198264],[127.0820949,37.6197239],[127.0817033,37.6195574],[127.08136,37.6193333],[127.0810783,37.6190602],[127.0808689,37.6187487],[127.08074,37.6184106],[127.0806965,37.6180591],[127.08074,37.6177075],[127.080869,37.6173695],[127.0810783,37.617058],[127.08136,37.6167849],[127.0817033,37.6165608],[127.082095,37.6163943],[127.0825199,37.6162917],[127.0829619,37.6162571],[127.0834038,37.6162917],[127.0838288,37.6163943],[127.0842204,37.6165608],[127.0845637,37.6167849],[127.0848454,37.617058],[127.0850548,37.6173695],[127.0851837,37.6177075],[127.0852272,37.6180591],[127.0851837,37.6184106],[127.0850548,37.6187487],[127.0848455,37.6190602],[127.0845638,37.6193333]]]}"
140165,2013097,1129013500,11290001,서울특별시 성북구1,서울특별시 성북구 종암동(종암동 근린생활시설 부근),4,5,0,2,3,0,127.0339153,37.5991471,"{""type"":""Polygon"",""coordinates"":[[[127.0355168,37.6004213],[127.0351736,37.6006454],[127.0347821,37.6008119],[127.0343572,37.6009145],[127.0339153,37.6009491],[127.0334735,37.6009145],[127.0330486,37.6008119],[127.0326571,37.6006454],[127.0323139,37.6004213],[127.0320322,37.6001482],[127.0318229,37.5998367],[127.0316941,37.5994986],[127.0316505,37.5991471],[127.0316941,37.5987955],[127.031823,37.5984575],[127.0320323,37.598146],[127.0323139,37.5978729],[127.0326571,37.5976488],[127.0330487,37.5974823],[127.0334735,37.5973797],[127.0339153,37.5973451],[127.0343572,37.5973797],[127.034782,37.5974823],[127.0351736,37.5976488],[127.0355168,37.5978729],[127.0357984,37.598146],[127.0360077,37.5984575],[127.0361366,37.5987955],[127.0361801,37.5991471],[127.0361366,37.5994986],[127.0360078,37.5998367],[127.0357985,37.6001482],[127.0355168,37.6004213]]]}"
144028,2013097,1129013900,11290002,서울특별시 성북구2,서울특별시 성북구 석관동(석관초등학교 부근),4,4,0,3,1,0,127.0601408,37.61151842,"{""type"":""Polygon"",""coordinates"":[[[127.0617425,37.6127926],[127.0613993,37.6130167],[127.0610077,37.6131832],[127.0605827,37.6132858],[127.0601408,37.6133204],[127.0596989,37.6132858],[127.0592739,37.6131832],[127.0588823,37.6130167],[127.058539,37.6127926],[127.0582573,37.6125195],[127.058048,37.612208],[127.0579191,37.61187],[127.0578756,37.6115184],[127.0579192,37.6111669],[127.0580481,37.6108288],[127.0582574,37.6105173],[127.0585391,37.6102442],[127.0588824,37.6100201],[127.059274,37.6098536],[127.0596989,37.6097511],[127.0601408,37.6097164],[127.0605827,37.6097511],[127.0610076,37.6098536],[127.0613992,37.6100201],[127.0617425,37.6102442],[127.0620242,37.6105173],[127.0622335,37.6108288],[127.0623624,37.6111669],[127.062406,37.6115184],[127.0623624,37.61187],[127.0622336,37.612208],[127.0620242,37.6125195],[127.0617425,37.6127926]]]}"
140167,2013097,1132010500,11320001,서울특별시 도봉구1,서울특별시 도봉구 쌍문동(쌍문3파출소 부근),4,4,0,0,4,0,127.0252199,37.64838966,"{""type"":""Polygon"",""coordinates"":[[[127.0268224,37.6496638],[127.026479,37.6498879],[127.0260872,37.6500545],[127.025662,37.650157],[127.0252199,37.6501916],[127.0247778,37.650157],[127.0243526,37.6500545],[127.0239608,37.6498879],[127.0236174,37.6496638],[127.0233355,37.6493908],[127.0231261,37.6490792],[127.0229972,37.6487412],[127.0229536,37.6483896],[127.0229972,37.6480381],[127.0231262,37.6477001],[127.0233356,37.6473885],[127.0236174,37.6471155],[127.0239609,37.6468914],[127.0243527,37.6467249],[127.0247778,37.6466223],[127.0252199,37.6465877],[127.025662,37.6466223],[127.0260872,37.6467249],[127.026479,37.6468914],[127.0268224,37.6471155],[127.0271042,37.6473885],[127.0273137,37.6477001],[127.0274426,37.6480381],[127.0274862,37.6483896],[127.0274427,37.6487412],[127.0273137,37.6490792],[127.0271043,37.6493908],[127.0268224,37.6496638]]]}"
