기간,자치구,동,인구,면적,인구밀도,계,15세미만,65세이상,15prop,65prop,노인인구밀도,어린이인구밀도
2020,송파구,가락1동,27876,1.34,20802.98507,27876,2931,3058,0.1097001,0.10514421,2282.089552,2187.313433
2020,송파구,가락2동,33204,0.96,34587.5,33204,3364,4107,0.123689917,0.101313095,4278.125,3504.166667
2020,송파구,가락본동,27368,1.13,24219.46903,27368,1598,3661,0.133769366,0.05838936,3239.823009,1414.159292
2020,구로구,가리봉동,14263,0.4,35657.5,14263,413,2163,0.151651125,0.02895604,5407.5,1032.5
2020,금천구,가산동,25973,2.52,10306.74603,25973,702,2604,0.10025796,0.027028068,1033.333333,278.5714286
2020,강서구,가양1동,34540,4.7,7348.93617,34540,1728,2956,0.085581934,0.050028952,628.9361702,367.6595745
2020,강서구,가양2동,14588,1,14588,14588,447,3860,0.264601042,0.030641623,3860,447
2020,강서구,가양3동,15583,0.5,31166,15583,454,3568,0.228967465,0.029134313,7136,908
2020,종로구,가회동,4418,0.54,8181.481481,4418,308,937,0.212086917,0.069714803,1735.185185,570.3703704
2020,은평구,갈현1동,23396,0.97,24119.58763,23396,1231,4393,0.18776714,0.052615832,4528.865979,1269.072165
2020,은평구,갈현2동,29239,0.96,30457.29167,29239,1994,4900,0.167584391,0.068196587,5104.166667,2077.083333
2020,강남구,강남_신사동,16914,1.89,8949.206349,16914,1374,2969,0.17553506,0.08123448,1570.899471,726.984127
2020,강동구,강일동,35778,2.8,12777.85714,35778,4329,5323,0.148778579,0.120996143,1901.071429,1546.071429
2020,구로구,개봉1동,35239,1.31,26900,35239,2251,6246,0.1772468,0.06387809,4767.938931,1718.320611
2020,구로구,개봉2동,32218,0.8,40272.5,32218,2269,6240,0.193680551,0.07042647,7800,2836.25
2020,구로구,개봉3동,21284,0.81,26276.54321,21284,1371,4166,0.195733885,0.064414584,5143.209877,1692.592593
2020,강남구,개포1동,6670,1.27,5251.968504,6670,571,1567,0.234932534,0.085607196,1233.858268,449.6062992
2020,강남구,개포2동,22297,2.51,8883.266932,22297,2053,3142,0.140915818,0.092075167,1251.792829,817.9282869
2020,강남구,개포4동,22765,1.49,15278.52349,22765,1955,2975,0.130683066,0.085877443,1996.644295,1312.080537
2020,송파구,거여1동,13077,0.51,25641.17647,13077,843,2302,0.176034259,0.064464327,4513.72549,1652.941176
2020,송파구,거여2동,19330,0.53,36471.69811,19330,1418,3487,0.180393171,0.073357475,6579.245283,2675.471698
2020,강동구,고덕1동,26103,1.73,15088.43931,26103,4132,2783,0.106616098,0.158295981,1608.67052,2388.439306
2020,강동구,고덕2동,22568,2.01,11227.8607,22568,2475,2752,0.121942574,0.109668557,1369.154229,1231.343284
2020,구로구,고척1동,23547,1.16,20299.13793,23547,1663,4259,0.180872298,0.070624708,3671.551724,1433.62069
2020,구로구,고척2동,27853,1.02,27306.86275,27853,2204,5036,0.180806376,0.079129717,4937.254902,2160.784314
2020,마포구,공덕동,38750,1.01,38366.33663,38750,2149,5882,0.151793548,0.055458065,5823.762376,2127.722772
2020,노원구,공릉1동,38324,1.41,27180.14184,38324,2391,6336,0.16532721,0.062389103,4493.617021,1695.744681
2020,노원구,공릉2동,40360,6.82,5917.888563,40360,3815,5198,0.128790882,0.094524281,762.170088,559.3841642
2020,강서구,공항동,27627,10.87,2541.582337,27627,2273,3818,0.13819814,0.082274586,351.2419503,209.1076357
2020,관악구,관악_신사동,25426,0.64,39728.125,25426,1049,3527,0.138716275,0.041256981,5510.9375,1639.0625
2020,광진구,광장동,35619,2.39,14903.34728,35619,5470,3702,0.103933294,0.153569724,1548.953975,2288.702929
2020,중구,광희동,6416,0.74,8670.27027,6416,194,1231,0.19186409,0.030236908,1663.513514,262.1621622
2020,종로구,교남동,10634,0.35,30382.85714,10634,903,1644,0.154598458,0.084916306,4697.142857,2580
2020,구로구,구로1동,21632,1.02,21207.84314,21632,2128,2476,0.114460059,0.098372781,2427.45098,2086.27451
2020,구로구,구로2동,33050,1.76,18778.40909,33050,1562,5864,0.177428139,0.047261725,3331.818182,887.5
2020,구로구,구로3동,25722,1.02,25217.64706,25722,1582,3465,0.134709587,0.061503771,3397.058824,1550.980392
2020,구로구,구로4동,25031,0.46,54415.21739,25031,1131,4536,0.181215293,0.045183972,9860.869565,2458.695652
2020,구로구,구로5동,32339,1.03,31397.08738,32339,1749,4645,0.143634621,0.054083305,4509.708738,1698.058252
2020,은평구,구산동,32997,1.38,23910.86957,32997,2352,6136,0.185956299,0.071279207,4446.376812,1704.347826
2020,광진구,구의1동,22700,0.56,40535.71429,22700,950,3090,0.136123348,0.04185022,5517.857143,1696.428571
2020,광진구,구의2동,27444,1.39,19743.88489,27444,2146,4265,0.155407375,0.078195598,3068.345324,1543.884892
