지점,노인1806,노인1807,노인1808,노인1809,노인1906,노인1907,노인1908,노인1909,노인2006,노인2007,노인2008,노인2009,노인평균
가락1동,23.83333333,27.79569892,28.0625,23.11111111,23.83333333,27.31182796,27.65591398,22.74074074,27.70833333,28.12903226,30.83870968,26.53333333,27.10147444
가락2동,23.83333333,27.79569892,28.0625,23.11111111,23.83333333,27.31182796,27.65591398,22.74074074,27.70833333,28.12903226,30.83870968,26.53333333,27.10147444
가락본동,23.83333333,27.79569892,28.0625,23.11111111,23.83333333,27.31182796,27.65591398,22.74074074,27.70833333,28.12903226,30.83870968,26.53333333,27.10147444
가리봉동,23.41666667,27.51612903,27.98958333,23.04444444,23.02083333,26.75268817,27.49462366,22.8,27.35416667,28.25806452,31.10752688,26.86666667,26.95731431
가산동,23.41666667,27.51612903,27.98958333,23.04444444,23.02083333,26.75268817,27.49462366,22.84444444,27.35416667,28.25806452,31.10752688,26.86666667,26.95972977
가양1동,23.54166667,27.68817204,28.21180555,23.26666667,23.18055556,26.84587814,27.29749104,22.83703703,27.36458334,28.09139785,30.83870968,26.7,26.96208233
가양2동,23.54166667,27.68817204,28.21180555,23.26666667,23.18055556,26.84587814,27.29749104,22.83703703,27.36458334,28.09139785,30.83870968,26.7,26.96208233
가양3동,23.54166667,27.68817204,28.21180555,23.26666667,23.18055556,26.84587814,27.29749104,22.83703703,27.36458334,28.09139785,30.83870968,26.7,26.96208233
가회동,23.41666667,27.06451613,27.4375,22.26666667,22.9375,26.5483871,26.7311828,22.95555556,27.52083333,28.11827957,30.59139785,26.37777778,26.60635568
갈현1동,22.875,26.98924731,27.30208333,22.17777778,23.64583333,26.93548387,27.30107527,22.36666667,27.6875,28.20430108,30.7311828,26.33333333,26.6944067
갈현2동,22.875,26.98924731,27.30208333,22.17777778,23.64583333,26.93548387,27.30107527,22.36666667,27.6875,28.20430108,30.7311828,26.33333333,26.6944067
강남_신사동,23.39583333,27.20430108,27.66666667,22.35555556,23.60416667,27.1827957,27.70967742,22.6,27.87096774,27.87096774,31.30107527,26.93333333,26.95071685
강일동,23.77083333,27.59139785,27.90625,22.55555556,22.97916667,26.69892473,27.05376344,22.8,27.39583333,28.25806452,30.40860215,26.28888889,26.78362772
개봉1동,23.41666667,27.51612903,27.98958333,23.04444444,23.02083333,26.75268817,27.49462366,22.91111111,27.35416667,28.25806452,31.10752688,26.86666667,26.96335296
개봉2동,23.41666667,27.51612903,27.98958333,23.04444444,23.02083333,26.75268817,27.49462366,22.91111111,27.35416667,28.25806452,31.10752688,26.86666667,26.96335296
개봉3동,23.41666667,27.51612903,27.98958333,23.04444444,23.02083333,26.75268817,27.49462366,22.91111111,27.35416667,28.25806452,31.10752688,26.86666667,26.96335296
개포1동,23.90277778,27.82437276,28.06944445,23.02222222,23.75,27.37634409,27.77060932,22.60740741,27.86458333,28.27419355,31.03225807,26.68888889,27.16776117
개포2동,23.90277778,27.82437276,28.06944445,23.02222222,23.75,27.37634409,27.77060932,22.60740741,27.86458333,28.27419355,31.03225807,26.68888889,27.16776117
개포4동,23.90277778,27.82437276,28.06944445,23.02222222,23.75,27.37634409,27.77060932,22.60740741,27.86458333,28.27419355,31.03225807,26.68888889,27.16776117
거여1동,23.625,27.50537634,27.73958333,22.53333333,23.58333333,27.06451613,27.23655914,22.8,27.375,27.78494624,30.46236559,26.17777778,26.78626962
거여2동,23.625,27.50537634,27.73958333,22.53333333,23.58333333,27.06451613,27.23655914,22.8,27.375,27.78494624,30.46236559,26.17777778,26.78626962
고덕1동,23.77083333,27.59139785,27.90625,22.55555556,22.97916667,26.69892473,27.05376344,22.74444445,27.39583333,27.87096774,30.40860215,26.28888889,26.73713013
고덕2동,23.77083333,27.59139785,27.90625,22.55555556,22.97916667,26.69892473,27.05376344,22.74444445,27.39583333,27.87096774,30.40860215,26.28888889,26.73713013
고척1동,23.41666667,27.51612903,27.98958333,23.04444444,23.02083333,26.75268817,27.49462366,22.88888889,27.35416667,28.25806452,31.10752688,26.86666667,26.96214523
고척2동,23.41666667,27.51612903,27.98958333,23.04444444,23.02083333,26.75268817,27.49462366,22.88888889,27.35416667,28.25806452,31.10752688,26.86666667,26.96214523
공덕동,23.22916667,27.46236559,27.85416667,22.53333333,23.29166667,26.87096774,27.35483871,22.35555556,27.6875,28.51612903,31.15053763,26.57777778,26.92247886
공릉1동,23.4375,27.36021505,27.76041667,22.55555556,23.61458334,27.06989248,27.27956989,22.56666667,27.76041667,27.85483871,30.57526882,26.36666667,26.80951842
공릉2동,23.4375,27.36021505,27.76041667,22.55555556,23.61458334,27.06989248,27.27956989,22.56666667,27.76041667,27.85483871,30.57526882,26.36666667,26.80951842
공항동,23.39583333,27.59139785,28.17708333,23.22222222,22.97916667,26.79569892,27.3655914,22.86666667,27.375,27.84946237,30.97849462,26.62222222,26.9145154
관악_신사동,23.3125,27.49462366,28.06666667,22.75555556,23.375,26.95698925,27.50537634,22.95555556,27.9139785,28.11827957,31.25555556,26.91111111,27.02781788
광장동,23.79166667,27.80645161,28.08333333,23.17777778,23.375,26.89247312,27.17204301,22.71111111,27.35416667,28.11827957,30.47311828,26.2,26.89877717
광희동,23.41666667,27.06451613,27.4375,22.26666667,22.9375,26.5483871,26.7311828,23.02222222,27.52083333,28.25806452,30.59139785,26.37777778,26.62567935
교남동,23.41666667,27.06451613,27.4375,22.26666667,22.9375,26.5483871,26.7311828,22.95555556,27.52083333,28.25806452,30.59139785,26.37777778,26.62205616
구로1동,23.41666667,27.51612903,27.98958333,23.04444444,23.02083333,26.75268817,27.49462366,22.83555555,27.35416667,28.25806452,31.10752688,26.86666667,26.95924668
구로2동,23.41666667,27.51612903,27.98958333,23.04444444,23.02083333,26.75268817,27.49462366,22.83555555,27.35416667,28.25806452,31.10752688,26.86666667,26.95924668
구로3동,23.41666667,27.51612903,27.98958333,23.04444444,23.02083333,26.75268817,27.49462366,22.83555555,27.35416667,28.25806452,31.10752688,26.86666667,26.95924668
구로4동,23.41666667,27.51612903,27.98958333,23.04444444,23.02083333,26.75268817,27.49462366,22.83555555,27.35416667,28.25806452,31.10752688,26.86666667,26.95924668
