지점,어린이1806,어린이1807,어린이1808,어린이1809,어린이1906,어린이1907,어린이1908,어린이1909,어린이2006,어린이2007,어린이2008,어린이2009,어린이평균
가락1동,24.83333333,28.56989247,28.97849462,24.13333333,24.64583333,27.31182796,28.49462366,23.11111111,28.6875,29.03225806,31.67741935,27.44444444,27.85809179
가락2동,24.83333333,28.56989247,28.97849462,24.13333333,24.64583333,27.31182796,28.49462366,23.11111111,28.6875,29.03225806,31.67741935,27.44444444,27.85809179
가락본동,24.83333333,28.56989247,28.97849462,24.13333333,24.64583333,27.31182796,28.49462366,23.11111111,28.6875,29.03225806,31.67741935,27.44444444,27.85809179
가리봉동,24.27083333,28.27956989,28.86021505,24.11111111,23.875,26.75268817,28.30107527,23.04444444,28.22916667,29.20430108,31.88172043,27.84444444,27.68946256
가산동,24.27083333,28.27956989,28.86021505,24.11111111,23.875,26.75268817,28.30107527,23.04444444,28.22916667,29.20430108,31.88172043,27.84444444,27.68946256
가양1동,24.47222222,28.5483871,29.2688172,24.22222222,24.07638889,26.84587814,28.07526882,23.26666667,28.27083334,29.03763441,31.67741935,27.57777778,27.7367653
가양2동,24.47222222,28.5483871,29.2688172,24.22222222,24.07638889,26.84587814,28.07526882,23.26666667,28.27083334,29.03763441,31.67741935,27.57777778,27.7367653
가양3동,24.47222222,28.5483871,29.2688172,24.22222222,24.07638889,26.84587814,28.07526882,23.26666667,28.27083334,29.03763441,31.67741935,27.57777778,27.7367653
가회동,24.35416667,27.8172043,28.44086022,23.26666667,23.83333333,26.5483871,27.5483871,22.26666667,28.45833333,29.03225806,31.37634409,27.31111111,27.30442331
갈현1동,23.85416667,27.78494624,28.34408602,23.13333333,24.4375,26.93548387,28.11827957,22.17777778,28.58333333,29.17204301,31.52688172,27.33333333,27.43161232
갈현2동,23.85416667,27.78494624,28.34408602,23.13333333,24.4375,26.93548387,28.11827957,22.17777778,28.58333333,29.17204301,31.52688172,27.33333333,27.43161232
강남_신사동,24.35416667,27.89247312,28.84946237,23.37777778,24.47916667,27.1827957,27.80645161,22.35555556,28.83333333,29.43010753,32.05376344,27.77777778,27.67149759
강일동,24.77083333,28.39784946,28.86021505,23.6,23.91666667,26.69892473,28.30107527,22.55555556,28.375,28.80645161,31.1827957,27.17777778,27.52030495
개봉1동,24.27083333,28.27956989,28.86021505,24.11111111,23.875,26.75268817,28.43010753,23.04444444,28.22916667,29.20430108,31.88172043,27.84444444,27.70395531
개봉2동,24.27083333,28.27956989,28.86021505,24.11111111,23.875,26.75268817,28.43010753,23.04444444,28.22916667,29.20430108,31.88172043,27.84444444,27.70395531
개봉3동,24.27083333,28.27956989,28.86021505,24.11111111,23.875,26.75268817,28.43010753,23.04444444,28.22916667,29.20430108,31.88172043,27.84444444,27.70395531
개포1동,24.83333333,28.59139785,28.8530466,24.04444444,24.54861111,27.37634409,28.41577061,23.02222222,28.80208334,29.20430108,31.83870968,27.58888889,27.88137832
개포2동,24.83333333,28.59139785,28.8530466,24.04444444,24.54861111,27.37634409,28.41577061,23.02222222,28.80208334,29.20430108,31.83870968,27.58888889,27.88137832
개포4동,24.83333333,28.59139785,28.8530466,24.04444444,24.54861111,27.37634409,28.41577061,23.02222222,28.80208334,29.20430108,31.83870968,27.58888889,27.88137832
거여1동,24.625,28.30107527,28.84946237,23.6,24.375,27.06451613,27.93548387,22.53333333,28.375,28.70967742,31.25806452,27.06666667,27.51554952
거여2동,24.625,28.30107527,28.84946237,23.6,24.375,27.06451613,27.93548387,22.53333333,28.375,28.70967742,31.25806452,27.06666667,27.51554952
고덕1동,24.77083333,28.39784946,28.84946237,23.6,23.91666667,26.69892473,28.05376344,22.55555556,28.375,28.80645161,31.1827957,27.17777778,27.49131944
고덕2동,24.77083333,28.39784946,28.84946237,23.6,23.91666667,26.69892473,28.05376344,22.55555556,28.375,28.80645161,31.1827957,27.17777778,27.49131944
고척1동,24.27083333,28.27956989,28.86021505,24.11111111,23.875,26.75268817,28.23655914,23.04444444,28.22916667,29.20430108,31.88172043,27.84444444,27.68221618
고척2동,24.27083333,28.27956989,28.86021505,24.11111111,23.875,26.75268817,28.23655914,23.04444444,28.22916667,29.20430108,31.88172043,27.84444444,27.68221618
공덕동,24.22916667,28.1827957,28.58064516,23.6,24.125,26.87096774,28.64516129,22.53333333,28.60416667,29.07526882,31.7311828,27.48888889,27.6245471
공릉1동,24.34375,28.16129033,29.02688172,23.56666667,24.47916667,27.06989248,27.88172043,22.55555556,28.66666667,28.92473119,31.40860215,27.26666667,27.57189765
공릉2동,24.34375,28.16129033,29.02688172,23.56666667,24.47916667,27.06989248,27.88172043,22.55555556,28.66666667,28.92473119,31.40860215,27.26666667,27.57189765
공항동,24.3125,28.4516129,29.08602151,24.24444444,23.83333333,26.79569892,27.98924731,23.22222222,28.29166667,29.1827957,31.76344086,27.6,27.69527476
관악_신사동,24.10416667,28.05376344,28.45161291,23.56666667,24.1875,26.95698925,27.5483871,22.75555556,28.60416667,29.39784946,32.02150538,27.91111111,27.58069143
광장동,24.8125,28.58064516,28.44086022,24.22222222,24.20833333,26.89247312,27.5483871,23.17777778,28.3125,28.78494624,31.32258065,27.08888889,27.52173913
광희동,24.35416667,27.8172043,28.86021505,23.26666667,23.83333333,26.5483871,28.30107527,22.26666667,28.45833333,29.03225806,31.37634409,27.31111111,27.43606582
교남동,24.35416667,27.8172043,28.86021505,23.26666667,23.83333333,26.5483871,28.30107527,22.26666667,28.45833333,29.03225806,31.37634409,27.31111111,27.43606582
구로1동,24.27083333,28.27956989,28.86021505,24.11111111,23.875,26.75268817,28.20215054,23.04444444,28.22916667,29.20430108,31.88172043,27.84444444,27.67835145
구로2동,24.27083333,28.27956989,28.86021505,24.11111111,23.875,26.75268817,28.20215054,23.04444444,28.22916667,29.20430108,31.88172043,27.84444444,27.67835145
구로3동,24.27083333,28.27956989,28.86021505,24.11111111,23.875,26.75268817,28.20215054,23.04444444,28.22916667,29.20430108,31.88172043,27.84444444,27.67835145
구로4동,24.27083333,28.27956989,28.86021505,24.11111111,23.875,26.75268817,28.20215054,23.04444444,28.22916667,29.20430108,31.88172043,27.84444444,27.67835145
구로5동,24.27083333,28.27956989,28.86021505,24.11111111,23.875,26.75268817,28.20215054,23.04444444,28.22916667,29.20430108,31.88172043,27.84444444,27.67835145
구산동,23.85416667,27.78494624,29.08602151,23.13333333,24.4375,26.93548387,27.98924731,22.17777778,28.58333333,29.17204301,31.52688172,27.33333333,27.5004529
구의1동,24.8125,28.58064516,29.08602151,24.22222222,24.20833333,26.89247312,28.16487455,23.17777778,28.3125,28.78494624,31.32258065,27.08888889,27.66344606
구의2동,24.8125,28.58064516,29.08602151,24.22222222,24.20833333,26.89247312,28.16487455,23.17777778,28.3125,28.78494624,31.32258065,27.08888889,27.66344606
구의3동,24.8125,28.58064516,29.08602151,24.22222222,24.20833333,26.89247312,28.16487455,23.17777778,28.3125,28.78494624,31.32258065,27.08888889,27.66344606
군자동,24.8125,28.58064516,28.44086022,24.22222222,24.20833333,26.89247312,28.51612903,23.17777778,28.3125,28.78494624,31.32258065,27.08888889,27.63043478
금호1가동,24.35416667,27.89247312,28.44086022,23.37777778,24.47916667,27.1827957,28.11827957,22.35555556,28.83333333,29.43010753,32.05376344,27.77777778,27.66062802
금호2·3가동,24.35416667,27.89247312,28.44086022,23.37777778,24.47916667,27.1827957,28.11827957,22.35555556,28.83333333,29.43010753,32.05376344,27.77777778,27.66062802
금호4가동,24.35416667,27.89247312,28.44086022,23.37777778,24.47916667,27.1827957,28.11827957,22.35555556,28.83333333,29.43010753,32.05376344,27.77777778,27.66062802
길동,24.79166667,28.37634409,28.58064516,23.75555556,24.10416667,26.62365591,28.64516129,22.68888889,28.16666667,28.44086022,30.91397849,26.71111111,27.43576389
길음1동,24.20833333,28.07526882,28.77419355,23.46666667,24.70833334,27.29032259,28.32258065,22.48888889,28.84375,29.22043011,31.69354839,27.51111111,27.69229318
길음2동,24.20833333,28.07526882,28.77419355,23.46666667,24.70833334,27.29032259,28.32258065,22.48888889,28.84375,29.22043011,31.69354839,27.51111111,27.69229318
낙성대동,24.25,28.24731183,28.44086022,23.84444444,24.15104167,26.97043011,28.1827957,22.74722223,28.60416667,29.39784946,32.02150538,27.91111111,27.69457654
난곡동,24.25,28.24731183,28.62365591,23.84444444,24.11197917,26.90725807,28.31854839,22.69444445,28.60416667,29.39784946,32.02150538,27.91111111,27.7182688
난향동,24.25,28.24731183,28.62365591,23.84444444,24.11197917,26.90725807,28.31854839,22.69444445,28.60416667,29.39784946,32.02150538,27.91111111,27.7182688
남가좌1동,23.95833333,27.86021505,28.74193548,23.28888889,24.10416667,26.72043011,28.24731183,22.24444444,28.47916667,28.90322581,31.44086022,27.26666667,27.42557367
남가좌2동,23.95833333,27.86021505,28.74193548,23.28888889,24.10416667,26.72043011,28.24731183,22.24444444,28.47916667,28.90322581,31.44086022,27.26666667,27.42557367
남영동,24.22916667,28.1827957,28.87096774,23.6,24.125,26.87096774,28.52688172,22.53333333,28.60416667,29.07526882,31.7311828,27.48888889,27.64387077
남현동,24.25,28.22580645,28.80645161,23.75555556,23.89583333,27.06451613,28.32258065,22.68888889,28.6875,29.40860215,31.84946237,27.66666667,27.71074879
내곡동,24.6875,28.49462366,28.80645161,23.71111111,24.52083333,27.38709677,28.32258065,22.71111111,28.89583333,29.32258065,31.90322581,27.71111111,27.84382548
노량진1동,24.25,28.24731183,28.96774194,23.84444444,24.1875,26.95698925,28.29032258,22.75555556,28.60416667,29.39784946,32.02150538,27.91111111,27.76675725
노량진2동,24.25,28.24731183,28.96774194,23.84444444,24.1875,26.95698925,28.29032258,22.75555556,28.60416667,29.39784946,32.02150538,27.91111111,27.76675725
녹번동,23.95833333,27.86021505,28.44086022,23.28888889,24.10416667,26.72043011,28.51612903,22.24444444,28.47916667,28.90322581,31.44086022,27.26666667,27.42195048
논현1동,24.59375,28.24731183,28.94623656,23.68888889,24.48958334,27.29569893,28.08064516,22.66666667,28.875,29.40322581,32.02688172,27.75555556,27.80812198
논현2동,24.59375,28.24731183,28.94623656,23.68888889,24.48958334,27.29569893,28.08064516,22.66666667,28.875,29.40322581,32.02688172,27.75555556,27.80812198
능동,24.8125,28.58064516,28.70967742,24.22222222,24.20833333,26.89247312,28.13978495,23.17777778,28.3125,28.78494624,31.32258065,27.08888889,27.61835749
다산동,24.35416667,27.8172043,28.44086022,23.26666667,23.83333333,26.5483871,27.5483871,22.26666667,28.45833333,29.03225806,31.37634409,27.31111111,27.30442331
답십리1동,24.27083333,28.15053763,29.10752688,23.46666667,24.5,27.08602151,28.09139785,22.51111111,28.58333333,29,31.48387097,27.2,27.60318539
답십리2동,24.27083333,28.15053763,29.10752688,23.46666667,24.5,27.08602151,28.09139785,22.51111111,28.58333333,29,31.48387097,27.2,27.60318539
당산1동,24.38541667,28.40860215,28.83333333,24.13333334,23.98958334,26.81182796,28.31182796,23.11111112,28.58333334,29.17204301,31.81182796,27.7,27.72599638
당산2동,24.38541667,28.40860215,28.83333333,24.13333334,23.98958334,26.81182796,28.31182796,23.11111112,28.58333334,29.17204301,31.81182796,27.7,27.72599638
대림1동,24.26388889,28.2688172,28.67025089,24.02222222,23.97916667,26.82078853,28.24731183,22.94814815,28.41666667,29.30107527,31.9516129,27.87777778,27.6944696
대림2동,24.26388889,28.2688172,28.67025089,24.02222222,23.97916667,26.82078853,28.24731183,22.94814815,28.41666667,29.30107527,31.9516129,27.87777778,27.6944696
대림3동,24.26388889,28.2688172,28.67025089,24.02222222,23.97916667,26.82078853,28.24731183,22.94814815,28.41666667,29.30107527,31.9516129,27.87777778,27.6944696
대방동,24.25,28.24731183,28.96774194,23.84444444,24.1875,26.95698925,28.68817204,22.75555556,28.60416667,29.39784946,32.02150538,27.91111111,27.81144324
대조동,23.85416667,27.78494624,28.96774194,23.13333333,24.4375,26.93548387,28.68817204,22.17777778,28.58333333,29.17204301,31.52688172,27.33333333,27.56567029
대치1동,24.83333333,28.60215054,28.88530466,24,24.5,27.40860215,28.37992832,22.97777778,28.91666667,29.37634409,32,27.73333333,27.92985105
대치2동,24.83333333,28.60215054,28.88530466,24,24.5,27.40860215,28.37992832,22.97777778,28.91666667,29.37634409,32,27.73333333,27.92985105
대치4동,24.83333333,28.60215054,28.88530466,24,24.5,27.40860215,28.37992832,22.97777778,28.91666667,29.37634409,32,27.73333333,27.92985105
대학동,24.25,28.24731183,28.62365591,23.84444444,24.11197917,26.90725807,28.31854839,22.69444445,28.60416667,29.39784946,32.02150538,27.91111111,27.7182688
대흥동,24.3125,28.31182796,28.96774194,24,24.0625,26.84946237,28.68817204,22.95555556,28.75,29.27956989,31.87096774,27.73333333,27.7906099
도곡1동,24.83333333,28.60215054,28.65591398,24,24.5,27.40860215,28.27419355,22.97777778,28.91666667,29.37634409,32,27.73333333,27.89221015
도곡2동,24.83333333,28.60215054,28.65591398,24,24.5,27.40860215,28.27419355,22.97777778,28.91666667,29.37634409,32,27.73333333,27.89221015
도림동,24.25,28.24731183,28.50537634,23.84444444,24.1875,26.95698925,28.22580645,22.75555556,28.60416667,29.39784946,32.02150538,27.91111111,27.7075785
도봉1동,24.125,27.91397849,28.88172043,23.33333333,24.5,27.21505376,28.21505376,22.28888889,28.85416667,29.11827957,31.59139785,27.53333333,27.61058273
도봉2동,24.125,27.91397849,28.88172043,23.33333333,24.5,27.21505376,28.21505376,22.28888889,28.85416667,29.11827957,31.59139785,27.53333333,27.61058273
도화동,24.3125,28.31182796,28.35483871,24,24.0625,26.84946237,27.97849462,22.95555556,28.75,29.27956989,31.87096774,27.73333333,27.64205918
독산1동,24.00520833,27.99193549,28.57795699,23.63333333,23.80729167,26.70698925,27.99731183,22.58333334,28.26041667,29.13440861,31.78763441,27.75,27.49520683
독산2동,24.00520833,27.99193549,28.57795699,23.63333333,23.80729167,26.70698925,27.99731183,22.58333334,28.26041667,29.13440861,31.78763441,27.75,27.49520683
독산3동,24.00520833,27.99193549,28.57795699,23.63333333,23.80729167,26.70698925,27.99731183,22.58333334,28.26041667,29.13440861,31.78763441,27.75,27.49520683
독산4동,24.00520833,27.99193549,28.57795699,23.63333333,23.80729167,26.70698925,27.99731183,22.58333334,28.26041667,29.13440861,31.78763441,27.75,27.49520683
돈암1동,24.3125,27.98387097,28.70967742,23.36666667,24.16666667,26.81720431,28.13978495,22.38888889,28.52083333,29.01612903,31.43010753,27.25555556,27.48248793
돈암2동,24.3125,27.98387097,28.70967742,23.36666667,24.16666667,26.81720431,28.13978495,22.38888889,28.52083333,29.01612903,31.43010753,27.25555556,27.48248793
동선동,24.27083333,28.15053763,28.78494624,23.46666667,24.5,27.08602151,27.69892473,22.51111111,28.58333333,29,31.48387097,27.2,27.52287138
동화동,24.3125,27.98387097,28.80645161,23.36666667,24.14166667,26.84946237,28.10107527,22.47555555,28.52083333,29.01612903,31.43010753,27.25555556,27.4959843
둔촌1동,24.79166667,28.37634409,29.10752688,23.75555556,24.10416667,26.62365591,28.05376344,22.68888889,28.16666667,28.44086022,30.91397849,26.71111111,27.42851751
둔촌2동,24.79166667,28.37634409,29.10752688,23.75555556,24.10416667,26.62365591,28.05376344,22.68888889,28.16666667,28.44086022,30.91397849,26.71111111,27.42851751
등촌1동,24.45833333,28.50537634,28.81003584,24.26666667,23.91666667,26.77419355,28.08602151,23.26666667,28.41666667,29.06451613,31.75268817,27.66666667,27.69077093
등촌2동,24.45833333,28.50537634,28.81003584,24.26666667,23.91666667,26.77419355,28.08602151,23.26666667,28.41666667,29.06451613,31.75268817,27.66666667,27.69077093
등촌3동,24.45833333,28.50537634,28.81003584,24.26666667,23.91666667,26.77419355,28.08602151,23.26666667,28.41666667,29.06451613,31.75268817,27.66666667,27.69077093
마장동,24.27083333,28.15053763,28.61290323,23.46666667,24.5,27.08602151,28.06451613,22.51111111,28.58333333,29,31.48387097,27.2,27.54461051
마천1동,24.625,28.30107527,29,23.6,24.375,27.06451613,27.69892473,22.53333333,28.375,28.70967742,31.25806452,27.06666667,27.50588768
마천2동,24.625,28.30107527,29,23.6,24.375,27.06451613,27.69892473,22.53333333,28.375,28.70967742,31.25806452,27.06666667,27.50588768
망우3동,24.70833333,28.39784946,28.88172043,23.88888889,24.25,26.67741935,28.12903226,22.82222222,28.25,28.53763441,31.03225806,26.82222222,27.47267512
망우본동,24.70833333,28.39784946,28.88172043,23.88888889,24.25,26.67741935,28.12903226,22.82222222,28.25,28.53763441,31.03225806,26.82222222,27.47267512
망원1동,24.3125,28.31182796,29,24,24.0625,26.84946237,27.69892473,22.95555556,28.75,29.27956989,31.87096774,27.73333333,27.68312198
망원2동,24.3125,28.31182796,29,24,24.0625,26.84946237,27.69892473,22.95555556,28.75,29.27956989,31.87096774,27.73333333,27.68312198
면목2동,24.70833333,28.39784946,28.87096774,23.88888889,24.25,26.67741935,27.67383513,22.82222222,28.25,28.53763441,31.03225806,26.82222222,27.42034018
